	Mark Ingram	Tyreek Hill	Marvin Jones	Joe Mixon	Rex Burkhead	Gerald Everett	Dalton Schultz	Josh Jacobs	Marquise Brown	Chase Claypool	Jalen Hurts	Nico Collins
0	1.7	4.7	10.3	9.4	4.5	9.7	20.0	5.0	4.3	4.8	0.72	2.5
1	6.4	5.6	2.1	9.4		1.6	4.8	8.1	9.9	6.1	6.86	3.5
2	4.1	23.1	1.4	9.4	10.8	2.0	2.1	15.0	0.8	6.1	30.78	5.5
3	2.9	2.2	5.2	6.5	4.7	1.3	20.0	14.0	17.3	4.3	22.92	2.5
4	9.3	16.2	15.9	11.9	13.7	5.4	1.1	20.4	14.0	13.0	28.18	3.2
5	3.0	24.1	13.7	7.1	4.7	12.8		12.8	4.3	1.7	28.76	3.5
6	7.1	2.1	17.6	15.5	0.5	1.6		7.3	14.0	4.3		2.5
7	9.7		5.1	7.9	4.8	0.3	7.9	9.4	1.3		23.54	3.2
8	1.6	7.0	14.8	25.5		2.7	12.8	20.4	3.7	9.5	18.62	0.9
9	4.3	36.6	2.4	6.0	3.1	9.7	14.2	5.7	4.3	2.4	28.18	3.2
10	2.9	11.0	15.9	24.3	3.2	2.0	11.8	17.2	11.0	13.0	28.18	9.3
11	2.6	5.6	17.6	28.3	12.7	1.7	13.2	10.4	1.3	2.4	28.76	
12	6.4	3.3	7.7	24.3		-3.3	20.0	9.9	13.8	9.6	9.26	5.5
13	3.9	2.9	1.1	5.1	26.9		1.1	12.8	11.6	1.7	0.36	5.5
14	2.9	15.4	7.4	7.1	5.9	12.8		12.8	8.6	9.5	0.36	6.7
15	8.1	0.2	3.8	1.7	26.9	12.8	12.6	9.5	14.0	8.2	27.64	5.5
16	16.8	20.5	8.0	6.8	2.3	5.4	1.8	5.7	15.1	5.4	21.8	4.4
17	6.2	8.8	3.5	7.1	0.9	8.0	11.8	20.9	9.8	7.3	28.76	2.8
18	2.9	16.0	16.0	9.5	4.7	2.0	12.7	14.2	24.5	13.0	21.8	6.7
19	1.7	1.9	11.5	21.1	0.6	2.3	3.4	10.4	10.1	14.8	25.0	
20	9.2	7.6	2.1	6.5		8.8	5.4	20.9	8.5	14.1	0.36	5.5
21	2.7	4.2	6.6	6.8	6.6	2.3	4.3	25.6	0.8	5.2	28.18	6.9
22	1.7	10.6	10.0	24.3	13.7	3.4	7.9	5.7	3.8	7.0	18.58	9.3
23	2.7		16.0	23.0		6.3	5.4	5.0	3.5	19.0	18.62	5.5
24	1.7	20.5	1.1	21.3		2.9	2.2	10.4	5.3	9.4	19.28	9.3
25	4.0	18.8	4.3	11.9	6.6	3.6	2.2	20.9	16.1	9.5	18.62	0.7
26	7.1	26.1	6.2	29.6	1.7	6.0	4.8	12.8	4.3	19.0	9.26	0.7
27	6.4	1.8	5.1	19.8		6.0	14.1	5.0	8.6	6.1	19.28	6.9
28	5.3	5.0	1.7	8.5	1.7	12.8	5.3	6.3	14.5	6.1		3.2
29	14.5	20.0	14.8	10.9	4.0	0.9	7.9	12.8	3.5	1.7	0.6	5.5
30	8.1	13.6	5.2	12.9	10.8	1.3	2.3	8.1	14.5	6.1	16.68	2.8
31	9.4	16.0	1.4	8.6	27.8	6.3	14.2	16.0	2.7	4.3	37.82	3.5
32	0.2	13.6	10.0	21.1	6.6	4.4	0.6	6.3	26.7	9.5	6.86	6.9
33		4.2	7.4	3.2	18.6	3.7		7.3	2.7	6.1	0.6	3.5
34	23.8	13.6	16.0	12.7	5.0	4.6	8.5	16.0	0.8	1.7	6.86	2.5
35	9.3	7.8	5.4	28.3	5.0	-3.3	0.6	16.0	13.8	7.0	16.68	9.3
36	16.8	21.8	5.2	8.5	18.6	-3.3	7.9	20.9	0.1	8.2		
37	10.9	20.8	10.3	13.0		3.7	12.8	12.8	14.0	9.6	28.18	3.2
38	2.4	3.3	7.4	9.4	3.2	2.4	7.0	13.4	14.0	4.1	21.8	3.5
39	2.9	20.5	3.5	25.5	6.6	0.7	0.6	15.0	3.5	7.0	16.68	3.2
40	2.9	6.5	2.5	23.0	5.4	8.8	5.4	16.0	24.5	5.4	25.0	
41		4.2	16.1	28.3	0.5	9.0	1.8	14.2	4.9	4.3	16.28	3.2
42	2.7	15.4	8.3	4.1	3.4	6.8	4.5	5.7	17.3	8.2	21.8	2.8
43	5.4	20.5	30.0	6.5	0.5	4.0	11.8	20.5	8.6	1.7	30.78	
44	16.8	7.0	1.9	7.1	26.9	0.6	4.3	12.4	0.8	5.2	16.28	
45	7.1	5.1	13.7	15.4	6.6	2.2	5.3	8.1	4.1	1.9	18.58	9.3
46	4.2	26.1	5.2	7.1	3.2	0.2	0.6	6.1	15.1	13.0	28.18	2.8
47	13.7	16.8	3.5	36.1	26.9	2.5	1.8	9.5	24.5	4.3	18.58	5.5
48	2.9	11.0	0.9	6.8	6.6	0.9		7.3	14.5	6.7	18.62	0.7
49	12.6	9.1	16.0	25.5	5.4	8.0	0.4	3.6	0.8	8.2	6.86	9.3
